Timestamp,Input (SP),Response (PV)
756.0,1.71,1.7182699244674253
757.0,1.71,1.741187954839459
758.0,1.71,1.7442867178498922
759.0,1.71,1.7204684192810256
760.0,1.71,1.7038314755131805
761.0,1.71,1.7433740348073827
762.0,1.71,1.7091111204155265
763.0,1.71,1.763867991620815
764.0,1.71,1.6949462563636406
765.0,1.71,1.7620542495607068
766.0,1.71,1.6827385613740904
767.0,1.71,1.6641504867590542
768.0,1.71,1.6799956256501627
769.0,1.71,1.6784337270630663
770.0,1.71,1.7400072769169754
771.0,1.71,1.7516614230558067
772.0,1.71,1.7100476203711186
773.0,1.71,1.6728073697946995
774.0,1.71,1.7506685921003764
775.0,1.71,1.7521917623540897
776.0,1.71,1.758545297743652
777.0,1.71,1.7395090044757924
778.0,1.71,1.6617144423342038
779.0,1.71,1.7615588571771565
780.0,1.71,1.712506081483188
781.0,1.71,1.6549948051165442
782.0,1.71,1.773281677398315
783.0,1.71,1.7462711599398406
784.0,1.71,1.693181677551443
785.0,1.71,1.6727768812403998
786.0,1.71,1.7273216355783587
787.0,1.71,1.696728536331699
788.0,1.71,1.7236047210789003
789.0,1.71,1.712551778820412
790.0,1.71,1.6884524613476353
791.0,1.71,1.6760195403136269
792.0,1.71,1.7208439890365108
793.0,1.71,1.6625711886119239
794.0,1.71,1.6787737847578466
795.0,1.71,1.6311293962512852
796.0,1.71,1.6884953511268397
797.0,1.71,1.6806000719546168
798.0,1.71,1.6260534315081658
799.0,1.71,1.6657251461882545
800.0,1.71,1.7589493564964203
801.0,1.71,1.7160717667805598
802.0,1.71,1.5847988768071066
803.0,1.71,1.7629583299752363
804.0,1.71,1.708044764752965
805.0,1.71,1.801004060548809
806.0,1.71,1.6603353361513002
807.0,1.71,1.7758258645226161
808.0,1.71,1.7132277264203866
809.0,1.71,1.6868299843529007
810.0,1.71,1.6821591272310255
811.0,1.71,1.7608265834633237
812.0,1.71,1.734272046197496
813.0,1.71,1.7080693684643182
814.0,1.71,1.7759870900133676
815.0,1.71,1.7190654902540183
816.0,1.71,1.7698852202141275
817.0,1.71,1.6448649423506025
818.0,1.71,1.8183437894389498
819.0,1.71,1.7319441710186942
820.0,1.71,1.6984976374730458
821.0,1.71,1.6622007275087571
822.0,1.71,1.6946700527768623
823.0,1.71,1.6783388953905323
824.0,1.71,1.7690622902850963
825.0,1.71,1.7419123339725149
